event_id,event_time,ingestion_date,loan_id,customer_id,event_type,installment_number,principal_amount,installment_amount,outstanding_balance,interest_rate,term_months,days_past_due,loan_status,channel,region,product_type
EVT000012137,2024-08-06 03:45:44,2024-08-06,LN101220,CU901220,PAYMENT,1,4802955.0,112941.49,4690013.51,0.2703,24,0,ACTIVE,ONLINE,SANTANDER,CONSUMO
EVT000016813,2025-09-07 23:23:43,2025-09-08,LN101694,CU901694,PAYMENT,2,16232389.0,392823.81,15446741.38,0.284,24,0,ACTIVE,OFFLINE,ANTIOQUIA,CONSUMO
EVT000010073,2024-04-14 04:31:52,2024-04-14,LN101011,CU901011,DELINQUENCY,6,20234096.0,722222.33,15900762.02,0.3354,18,25,DELINQUENT,ONLINE,BOGOTA,LIBRANZA
EVT000005851,2024-12-18 17:30:11,2024-12-19,LN100585,CU900585,DISBURSEMENT,0,6506943.0,262945.57,6506943.0,0.2041,12,0,ACTIVE,ONLINE,NARINO,CONSUMO
EVT000004321,2024-01-07 07:46:27,2024-01-07,LN100432,CU900432,PAYMENT,5,5205582.0,213428.86,4138437.7,0.21,12,12,DELINQUENT,AGENTE,BOGOTA,CONSUMO
EVT000004430,2025-03-31 22:09:46,,LN100443,CU900443,DISBURSEMENT,0,12916925.0,291082.9,12916925.0,0.2507,24,0,ACTIVE,ONLINE,ATLANTICO,CONSUMO
EVT000011745,2025-08-12 18:47:38,2025-08-12,LN101181,CU901181,DISBURSEMENT,0,24729023.0,1335861.82,24729023.0,0.3402,12,0,ACTIVE,APP,NARINO,CONSUMO
EVT000012107,2025-06-23 17:11:34,2025-06-24,LN101216,CU901216,PAYMENT,5,7602624.0,129130.57,6956971.15,0.1397,24,18,DELINQUENT,AGENTE,ANTIOQUIA,MICROCREDITO
EVT000004231,2025-03-05 10:45:36,2025-03-05,LN100423,CU900423,PAYMENT,3,20359536.0,167558.98,19856859.06,0.1292,48,0,ACTIVE,OFFLINE,BOGOTA,VEHICULO
EVT000016859,2024-11-30 00:29:51,2024-12-01,LN101698,CU901698,PAYMENT,5,26809167.0,285249.54,25382919.3,0.1192,36,0,ACTIVE,OFFLINE,ATLANTICO,CONSUMO
EVT000017878,2023-12-07 05:25:32,,LN101804,CU901804,PAYMENT,5,3339530.0,61614.33,3031458.35,0.169,24,0,ACTIVE,OFFLINE,NARINO,MICROCREDITO
